year,nominal_gdp,growth_rate
1,21784756.27,N/A
2,21665117.00,-0.55
3,23186932.03,7.02
4,25111424.63,8.30
5,27114299.00,7.98
6,25072073.17,-7.53
7,22308407.76,-11.02
8,22456575.03,0.66
9,23159926.24,3.13
10,24778105.24,6.99
11,26510856.83,6.99
12,26931385.08,1.59
13,25705220.33,-4.55
14,23285942.03,-9.41
15,24493317.15,5.18
16,25578995.47,4.43
17,26879646.73,5.08
18,26047198.74,-3.10
19,25004764.37,-4.00
20,23230719.15,-7.09
