year,growth_rate
2,-0.55
3,7.02
4,8.30
5,7.98
6,-7.53
7,-11.02
8,0.66
9,3.13
10,6.99
11,6.99
12,1.59
13,-4.55
14,-9.41
15,5.18
16,4.43
17,5.08
18,-3.10
19,-4.00
20,-7.09
