Month,Saving_Rate
2001.01,1.0
2001.02,0.767742122609449
2001.03,0.27284737357024186
2001.04,0.020173700551125582
2001.05,0.04029390985688932
2001.06,0.10083267302851588
2001.07,0.07371397519496292
2001.08,0.09995117825763034
2001.09,0.07690026911730505
2001.10,0.1202129712878826
2001.11,0.11795459335986581
2001.12,0.08439138202290673
2002.01,0.1484239720249412
2002.02,0.1732596419565048
2002.03,0.15051401411507428
2002.04,0.18865106656569766
2002.05,0.1296774692260109
2002.06,0.11238840171066138
2002.07,0.14868742476503205
2002.08,0.07792931779387247
2002.09,0.1628686013975361
2002.10,0.1250538206664992
2002.11,0.09654427662393705
2002.12,0.13491405906980963
2003.01,0.09503545432299285
2003.02,0.10342774755225656
2003.03,0.06264809465600842
2003.04,0.08089556431420782
2003.05,0.1162880183646125
2003.06,0.09785109722522525
2003.07,0.10754961837825888
2003.08,0.11838955046745545
2003.09,0.10962629837327681
2003.10,0.09106133658914936
2003.11,0.08914872124141192
2003.12,0.08045823048892642
2004.01,0.09323341682667663
2004.02,0.06855091466803154
2004.03,0.07433217698145085
2004.04,0.05525699492418565
2004.05,0.04676421316665813
2004.06,0.09368075705351804
2004.07,0.11687102881912116
2004.08,-0.0010132270185700038
2004.09,0.04791916765444052
2004.10,0.08947323221981814
2004.11,0.051794776919773265
2004.12,0.02477252128261345
2005.01,0.04838924630586174
2005.02,0.0829694007667153
2005.03,0.023768158528916974
2005.04,0.01698736600091695
2005.05,0.0026163647278905347
2005.06,0.00023581476858777328
2005.07,0.01091665654132211
2005.08,0.05489443203085156
2005.09,0.05653200603196891
2005.10,-0.010263168084782259
2005.11,-0.006488830976341888
2005.12,0.08456765383895953
2006.01,0.03911833061443555
2006.02,0.12035224048758231
2006.03,0.1392303751662393
2006.04,0.1032489745281915
2006.05,0.14265149595702886
2006.06,0.07990104738522152
2006.07,0.050260465771342785
2006.08,0.06554991032387718
2006.09,0.07902309221190373
2006.10,0.10566061880043157
2006.11,0.14201232331222646
2006.12,0.1346667579349295
2007.01,0.13509244415019733
2007.02,0.10927162794104031
2007.03,0.09461739721067255
2007.04,0.045505142437308334
2007.05,0.12526598952947257
2007.06,0.08386876217715293
2007.07,0.04211628462011605
2007.08,0.0892936584396423
2007.09,0.0678571463908643
2007.10,0.11935974253055312
2007.11,0.05045246665614802
2007.12,0.05039824023101064
2008.01,0.09767358638950809
2008.02,0.14628477422373853
2008.03,0.06194203018190792
2008.04,0.09859462255004503
2008.05,0.09473471152720415
2008.06,0.08458699595067365
2008.07,0.07471446682302826
2008.08,0.07576406583767793
2008.09,0.07283718826932453
2008.10,0.11111671703207038
2008.11,0.11658466635230853
2008.12,0.12264294984159774
2009.01,0.06421496688904489
2009.02,0.13303940701936234
2009.03,0.11119848993978378
2009.04,0.06518097496986487
2009.05,0.18462857869610658
2009.06,0.1093400651218011
2009.07,0.12148387608733595
2009.08,0.036790734643946645
2009.09,0.10585076628201774
2009.10,0.08836245642324272
2009.11,0.06951313877568009
2009.12,0.05788996197468321
2010.01,0.1136889976698429
2010.02,0.07154175804163956
2010.03,0.0809265551048978
2010.04,0.05869719097026079
2010.05,0.050414982405685344
2010.06,0.10124684571646564
2010.07,0.039930860433844334
2010.08,0.07724471209211074
2010.09,0.05600732720188189
2010.10,0.059868528700685104
2010.11,0.10989429091469104
2010.12,0.13658311804088555
2011.01,0.06245915050719349
2011.02,0.036466880758965606
2011.03,0.0830279402549275
2011.04,0.05430162423377611
2011.05,0.011166352316594715
2011.06,0.02126686938441255
2011.07,0.03987023025568713
2011.08,0.04942304240504037
2011.09,0.03872101014399191
2011.10,0.025988849603183886
2011.11,0.0773222358353654
2011.12,0.036197685166862704
2012.01,0.04671833330753915
2012.02,-0.009408513924305795
2012.03,0.08413170577401356
2012.04,-0.014823381357327359
2012.05,0.0045127994224078965
2012.06,0.055993471924538095
2012.07,0.0037147192183599764
2012.08,0.022927180724724456
2012.09,0.03914219979784854
2012.10,0.09042798035902463
2012.11,0.1328926980434045
2012.12,0.064611430303604
2013.01,0.08104068257710897
2013.02,0.08107282535812033
2013.03,0.07651555229301102
2013.04,0.06320477620093497
2013.05,0.08180529766214162
2013.06,0.07724808879015443
2013.07,0.07837677401325178
2013.08,0.08853581894435258
2013.09,0.06983924451099574
2013.10,0.05290843912996913
2013.11,0.06951650036551106
2013.12,0.11419918136207624
2014.01,0.0738821003741132
2014.02,0.11810608490753588
2014.03,0.11096754582615748
2014.04,0.12040146010836274
2014.05,0.10263706745411781
2014.06,0.0940120395658744
2014.07,0.07042268581681474
2014.08,0.09612239974034117
2014.09,0.1151871547773948
2014.10,0.08295306315627884
2014.11,0.08591517338755537
2014.12,0.10957128286611786
2015.01,0.06956417850162748
2015.02,0.07818717119268054
2015.03,0.09404245352055374
2015.04,0.07493798213000379
2015.05,0.06279858289147362
2015.06,0.07321334475364974
2015.07,0.050079208138529584
2015.08,0.05958216728495441
2015.09,0.05717017672195713
2015.10,0.025896253773689874
2015.11,0.04072209683897356
2015.12,0.10179685202911758
2016.01,0.08006415991477744
2016.02,0.050163790217049704
2016.03,0.11672050747070468
2016.04,0.07047337315118855
2016.05,0.08078299027432681
2016.06,0.03043900652912632
2016.07,0.03660781821731056
2016.08,0.04621428026609323
2016.09,0.033844787487108986
2016.10,0.05469252792687247
2016.11,0.041494442759321425
2016.12,0.022415657988526752
2017.01,0.030583501680859233
2017.02,0.015885722383682334
2017.03,0.05625516526720425
2017.04,0.03410800301541948
2017.05,-0.01084152900514557
2017.06,-0.0011703245635274282
